event_id,male_id,female_id,male_age,female_age,age_gap,same_race,same_field,shared_interests,attr_of_female,sinc_of_female,intel_of_female,fun_of_female,amb_of_female,attr_of_male,sinc_of_male,intel_of_male,fun_of_male,amb_of_male,male_pref_attr,male_pref_intel,female_pref_attr,female_pref_intel,male_self_attr,female_self_attr,male_goes_out,female_goes_out,male_decision,female_decision,match
0,P00003,P00008,26,32,6,0,0,7.6,5.4,9.7,3.0,3.3,7.7,5.6,5.7,6.3,8.7,8.8,18.2,19.6,35.6,17.8,6.5,4.9,very_often,very_often,1,0,0
0,P00003,P00009,26,22,4,0,0,8.7,5.6,7.9,3.8,8.1,5.7,6.3,5.7,6.2,9.3,6.8,18.2,19.6,14.9,22.3,6.5,6.4,very_often,often,0,1,0
0,P00003,P00010,26,27,1,1,1,5.2,6.5,4.4,3.9,7.5,10.0,6.7,6.0,3.7,8.7,7.2,18.2,19.6,30.9,16.1,6.5,4.4,very_often,rarely,1,1,1
0,P00003,P00011,26,36,10,1,0,4.3,4.6,9.4,4.3,5.5,6.8,3.8,5.6,5.1,8.5,7.6,18.2,19.6,11.4,22.4,6.5,7.4,very_often,rarely,1,1,1
0,P00004,P00006,23,29,6,1,1,7.7,1.8,5.6,4.5,3.1,4.9,3.5,8.2,7.0,8.7,5.7,17.9,27.9,14.9,23.6,3.5,5.0,sometimes,very_often,0,1,0
0,P00004,P00007,23,26,3,1,1,0.6,5.9,9.8,6.1,4.8,3.3,2.0,7.5,7.6,9.3,6.2,17.9,27.9,35.6,16.5,3.5,6.2,sometimes,rarely,0,0,0
0,P00004,P00008,23,32,9,0,0,7.4,2.0,10.0,3.0,6.2,7.4,1.9,8.3,7.1,9.4,4.7,17.9,27.9,35.6,17.8,3.5,4.9,sometimes,very_often,0,1,0
0,P00004,P00009,23,22,1,0,0,8.3,7.1,4.2,6.6,4.6,4.9,5.8,6.3,7.7,7.2,5.9,17.9,27.9,14.9,22.3,3.5,6.4,sometimes,often,1,1,1
0,P00004,P00010,23,27,4,0,0,6.7,6.0,9.6,4.8,8.5,9.0,3.8,7.5,8.2,9.2,7.7,17.9,27.9,30.9,16.1,3.5,4.4,sometimes,rarely,1,0,0
0,P00004,P00011,23,36,13,0,0,6.3,7.1,8.2,4.1,7.2,8.8,2.3,7.1,8.1,6.8,5.4,17.9,27.9,11.4,22.4,3.5,7.4,sometimes,rarely,0,0,0
0,P00005,P00006,29,29,0,0,0,6.2,5.0,3.6,4.4,3.8,4.8,4.8,6.4,8.4,2.6,4.0,20.0,18.0,14.9,23.6,5.9,5.0,sometimes,very_often,0,0,0
0,P00005,P00007,29,26,3,0,0,7.7,5.0,7.2,4.8,4.8,5.0,6.4,5.8,8.3,1.5,4.3,20.0,18.0,35.6,16.5,5.9,6.2,sometimes,rarely,0,0,0
0,P00005,P00008,29,32,3,1,0,3.6,3.2,9.2,2.9,5.5,7.1,4.2,6.1,8.6,3.6,4.7,20.0,18.0,35.6,17.8,5.9,4.9,sometimes,very_often,0,0,0
0,P00005,P00009,29,22,7,1,0,2.4,5.6,7.8,6.3,6.1,3.9,5.1,6.0,7.8,3.4,4.5,20.0,18.0,14.9,22.3,5.9,6.4,sometimes,often,0,0,0
0,P00005,P00010,29,27,2,0,0,6.9,5.4,4.6,5.5,7.8,7.0,3.7,7.0,8.4,1.2,4.0,20.0,18.0,30.9,16.1,5.9,4.4,sometimes,rarely,1,0,0
0,P00005,P00011,29,36,7,0,1,6.1,8.1,7.3,2.8,6.3,7.0,5.0,6.3,7.4,1.0,4.8,20.0,18.0,11.4,22.4,5.9,7.4,sometimes,rarely,0,0,0
1,P00012,P00025,27,32,5,1,0,9.0,6.5,7.7,7.2,7.7,8.5,9.3,2.2,6.0,7.3,5.6,19.5,18.7,20.8,25.7,7.0,5.5,often,sometimes,1,1,1
1,P00012,P00026,27,26,1,0,0,3.9,5.4,6.4,7.6,3.4,8.3,7.1,1.1,5.0,5.1,6.3,19.5,18.7,37.0,16.2,7.0,5.8,often,sometimes,0,0,0
1,P00012,P00027,27,31,4,0,1,3.5,6.7,6.9,7.3,4.2,6.0,7.2,2.4,5.0,6.2,5.0,19.5,18.7,38.8,10.8,7.0,7.8,often,often,0,0,0
1,P00012,P00028,27,31,4,0,0,5.3,2.2,6.5,1.0,6.9,5.9,7.8,3.3,4.7,7.6,7.6,19.5,18.7,17.7,20.6,7.0,5.7,often,sometimes,1,0,0
1,P00012,P00029,27,24,3,0,1,5.7,4.4,6.3,7.6,5.5,7.4,9.2,2.6,5.1,7.7,5.8,19.5,18.7,35.1,13.4,7.0,5.3,often,often,1,0,0
1,P00012,P00030,27,31,4,0,0,5.1,7.5,5.7,2.1,4.3,8.1,10.0,2.2,5.1,7.0,4.9,19.5,18.7,27.7,16.4,7.0,8.3,often,often,0,0,0
1,P00012,P00031,27,19,8,1,0,6.4,7.3,4.7,4.2,8.5,4.1,7.5,2.4,4.6,5.1,4.2,19.5,18.7,34.4,6.3,7.0,7.2,often,very_often,0,0,0
1,P00012,P00032,27,26,1,0,0,6.5,9.5,2.6,7.5,10.0,7.7,9.0,3.3,5.2,8.0,5.5,19.5,18.7,31.8,16.3,7.0,9.7,often,sometimes,1,1,1
1,P00012,P00033,27,24,3,0,1,4.2,5.7,5.6,6.5,5.0,5.8,9.7,1.3,5.1,5.3,6.2,19.5,18.7,28.4,6.1,7.0,3.0,often,often,1,1,1
1,P00012,P00034,27,30,3,0,0,9.5,7.2,5.7,6.1,8.6,4.5,7.0,3.4,4.8,6.3,6.8,19.5,18.7,16.3,19.5,7.0,8.9,often,very_often,1,1,1
1,P00012,P00035,27,28,1,0,0,3.7,3.3,3.7,6.3,6.3,7.9,10.0,2.5,6.2,5.4,5.3,19.5,18.7,30.8,14.8,7.0,3.1,often,sometimes,0,0,0
1,P00012,P00036,27,26,1,1,0,6.6,3.6,5.1,7.6,5.5,7.9,6.8,1.7,5.8,8.5,5.8,19.5,18.7,23.2,4.6,7.0,4.7,often,sometimes,0,1,0
1,P00012,P00037,27,18,9,0,1,5.1,1.8,1.4,8.7,6.9,4.0,6.7,4.0,4.8,7.5,5.2,19.5,18.7,24.4,22.6,7.0,3.9,often,sometimes,0,0,0
1,P00013,P00025,23,32,9,1,0,4.3,3.7,4.9,8.8,7.3,8.0,5.7,3.0,7.4,5.9,8.2,12.4,30.2,20.8,25.7,4.6,5.5,rarely,sometimes,1,0,0
1,P00013,P00026,23,26,3,0,0,4.0,6.0,8.0,5.5,6.9,9.0,6.3,2.8,6.9,4.9,8.6,12.4,30.2,37.0,16.2,4.6,5.8,rarely,sometimes,1,1,1
1,P00013,P00027,23,31,8,0,0,2.4,5.7,8.2,6.7,7.2,6.6,4.3,2.7,9.0,3.0,9.9,12.4,30.2,38.8,10.8,4.6,7.8,rarely,often,1,1,1
1,P00013,P00028,23,31,8,0,0,4.1,3.4,8.2,3.5,8.5,8.4,5.4,5.5,8.0,5.4,9.5,12.4,30.2,17.7,20.6,4.6,5.7,rarely,sometimes,0,0,0
1,P00013,P00029,23,24,1,0,0,5.4,5.0,5.5,7.2,4.1,5.6,4.3,1.6,8.4,5.2,8.3,12.4,30.2,35.1,13.4,4.6,5.3,rarely,often,0,0,0
1,P00013,P00030,23,31,8,0,0,7.3,6.1,6.2,4.0,7.7,7.6,4.7,3.5,7.6,6.7,9.4,12.4,30.2,27.7,16.4,4.6,8.3,rarely,often,0,1,0
1,P00013,P00031,23,19,4,1,0,4.8,7.1,5.1,5.8,8.4,5.3,6.8,2.0,7.4,4.7,8.4,12.4,30.2,34.4,6.3,4.6,7.2,rarely,very_often,0,0,0
1,P00013,P00032,23,26,3,0,0,5.6,7.5,4.1,5.0,9.6,5.8,3.8,3.6,7.3,4.9,7.6,12.4,30.2,31.8,16.3,4.6,9.7,rarely,sometimes,0,0,0
1,P00013,P00033,23,24,1,0,0,8.2,3.8,4.2,7.4,3.9,7.1,4.4,3.4,7.6,3.0,10.0,12.4,30.2,28.4,6.1,4.6,3.0,rarely,often,1,1,1
1,P00013,P00034,23,30,7,0,0,5.2,6.8,6.5,5.5,8.3,4.8,5.8,3.8,8.7,4.5,6.2,12.4,30.2,16.3,19.5,4.6,8.9,rarely,very_often,1,1,1
1,P00013,P00035,23,28,5,0,0,6.4,4.5,6.6,5.0,6.9,7.6,4.7,1.5,7.9,4.9,9.4,12.4,30.2,30.8,14.8,4.6,3.1,rarely,sometimes,0,1,0
1,P00013,P00036,23,26,3,1,0,10.0,5.4,4.7,4.9,4.6,7.8,6.4,3.1,8.4,5.2,7.6,12.4,30.2,23.2,4.6,4.6,4.7,rarely,sometimes,1,1,1
1,P00013,P00037,23,18,5,0,0,6.6,3.4,4.7,8.8,9.3,5.7,6.7,4.5,8.2,4.5,9.0,12.4,30.2,24.4,22.6,4.6,3.9,rarely,sometimes,1,0,0
1,P00014,P00025,25,32,7,0,0,6.9,2.2,7.6,7.7,7.5,8.3,7.0,7.4,9.7,6.9,6.2,18.3,20.2,20.8,25.7,10.0,5.5,sometimes,sometimes,1,1,1
1,P00014,P00026,25,26,1,0,0,3.2,6.2,8.9,6.1,4.3,8.4,8.9,7.2,8.9,4.9,5.7,18.3,20.2,37.0,16.2,10.0,5.8,sometimes,sometimes,0,0,0
1,P00014,P00027,25,31,6,0,1,8.0,6.4,8.3,5.1,5.3,5.7,8.4,7.6,9.1,7.1,6.3,18.3,20.2,38.8,10.8,10.0,7.8,sometimes,often,1,0,0
1,P00014,P00028,25,31,6,0,0,8.9,1.3,8.1,3.7,7.8,7.5,8.0,7.1,6.8,8.5,5.0,18.3,20.2,17.7,20.6,10.0,5.7,sometimes,sometimes,1,1,1
1,P00014,P00029,25,24,1,1,1,5.1,5.8,2.7,6.7,6.0,4.2,8.7,7.5,7.8,8.6,5.1,18.3,20.2,35.1,13.4,10.0,5.3,sometimes,often,0,1,0
1,P00014,P00030,25,31,6,0,0,4.9,7.2,4.7,2.9,6.7,5.6,8.0,6.7,10.0,7.5,4.0,18.3,20.2,27.7,16.4,10.0,8.3,sometimes,often,0,1,0
1,P00014,P00031,25,19,6,0,0,8.4,7.4,3.5,6.3,8.9,5.7,8.9,7.9,10.0,6.5,6.4,18.3,20.2,34.4,6.3,10.0,7.2,sometimes,very_often,1,1,1
1,P00014,P00032,25,26,1,1,0,4.3,8.2,4.1,5.4,6.9,5.5,9.0,6.8,8.9,7.2,5.3,18.3,20.2,31.8,16.3,10.0,9.7,sometimes,sometimes,1,1,1
1,P00014,P00033,25,24,1,0,1,5.4,6.2,5.2,4.2,3.3,7.1,7.8,6.7,8.0,7.5,7.9,18.3,20.2,28.4,6.1,10.0,3.0,sometimes,often,1,0,0
1,P00014,P00034,25,30,5,1,0,6.8,5.2,7.3,6.4,5.6,4.6,6.1,7.1,10.0,6.5,5.7,18.3,20.2,16.3,19.5,10.0,8.9,sometimes,very_often,0,0,0
1,P00014,P00035,25,28,3,1,0,3.7,4.6,5.8,6.7,7.2,3.5,8.0,5.5,8.8,6.8,4.0,18.3,20.2,30.8,14.8,10.0,3.1,sometimes,sometimes,1,0,0
1,P00014,P00036,25,26,1,0,0,3.7,3.1,6.8,5.7,4.1,6.2,7.4,5.5,9.1,4.9,6.0,18.3,20.2,23.2,4.6,10.0,4.7,sometimes,sometimes,0,0,0
1,P00014,P00037,25,18,7,0,1,6.1,5.4,5.9,5.7,9.6,2.6,7.3,7.8,9.6,4.7,5.3,18.3,20.2,24.4,22.6,10.0,3.9,sometimes,sometimes,0,1,0
1,P00015,P00025,22,32,10,1,0,10.0,4.7,9.0,7.1,7.9,6.6,5.1,5.6,9.3,5.3,7.7,29.2,17.4,20.8,25.7,4.7,5.5,very_often,sometimes,1,1,1
1,P00015,P00026,22,26,4,0,1,4.8,7.2,4.8,6.7,4.9,6.9,3.4,6.5,10.0,3.6,7.3,29.2,17.4,37.0,16.2,4.7,5.8,very_often,sometimes,1,0,0
1,P00015,P00027,22,31,9,0,0,4.9,8.2,8.1,7.4,5.1,5.4,6.4,6.2,7.6,4.4,5.3,29.2,17.4,38.8,10.8,4.7,7.8,very_often,often,1,0,0
1,P00015,P00028,22,31,9,0,1,4.2,4.9,9.1,1.0,8.0,7.4,6.2,6.7,8.2,7.4,6.1,29.2,17.4,17.7,20.6,4.7,5.7,very_often,sometimes,0,1,0
1,P00015,P00029,22,24,2,0,0,5.3,4.7,5.2,6.1,7.0,7.1,6.0,3.8,10.0,6.3,8.1,29.2,17.4,35.1,13.4,4.7,5.3,very_often,often,0,0,0
1,P00015,P00030,22,31,9,0,1,7.5,6.8,5.0,3.5,5.8,7.8,3.8,4.3,9.4,7.0,7.9,29.2,17.4,27.7,16.4,4.7,8.3,very_often,often,0,0,0
1,P00015,P00031,22,19,3,1,0,5.5,6.8,5.5,6.4,8.1,7.9,4.1,5.4,10.0,7.6,6.8,29.2,17.4,34.4,6.3,4.7,7.2,very_often,very_often,0,0,0
1,P00015,P00032,22,26,4,0,0,5.1,7.7,5.2,6.8,8.3,5.8,5.8,5.1,10.0,6.2,4.9,29.2,17.4,31.8,16.3,4.7,9.7,very_often,sometimes,1,1,1
1,P00015,P00033,22,24,2,0,0,2.8,4.0,6.1,9.8,4.9,5.8,3.2,4.6,8.0,4.7,7.8,29.2,17.4,28.4,6.1,4.7,3.0,very_often,often,0,0,0
1,P00015,P00034,22,30,8,0,1,3.1,7.8,6.9,6.0,6.7,3.8,2.8,3.4,7.4,3.5,7.4,29.2,17.4,16.3,19.5,4.7,8.9,very_often,very_often,0,0,0
1,P00015,P00035,22,28,6,0,0,3.8,5.0,5.3,5.6,6.4,7.1,4.7,5.4,8.5,5.4,7.2,29.2,17.4,30.8,14.8,4.7,3.1,very_often,sometimes,0,0,0
1,P00015,P00036,22,26,4,1,0,6.2,4.5,5.5,8.1,5.0,5.4,3.8,3.6,8.8,4.1,7.2,29.2,17.4,23.2,4.6,4.7,4.7,very_often,sometimes,0,0,0
1,P00015,P00037,22,18,4,0,0,7.0,4.6,4.3,6.6,6.0,4.6,3.4,5.4,10.0,4.7,7.9,29.2,17.4,24.4,22.6,4.7,3.9,very_often,sometimes,0,1,0
1,P00016,P00025,33,32,1,1,0,2.7,4.9,10.0,8.7,6.7,9.3,4.6,8.2,5.7,9.4,7.1,28.1,25.0,20.8,25.7,4.8,5.5,sometimes,sometimes,1,0,0
1,P00016,P00026,33,26,7,0,0,4.8,6.5,7.9,4.5,3.6,7.1,5.9,6.8,6.0,7.4,6.6,28.1,25.0,37.0,16.2,4.8,5.8,sometimes,sometimes,0,1,0
1,P00016,P00027,33,31,2,0,1,7.0,7.4,8.6,7.3,6.1,5.2,3.5,7.1,5.8,8.3,8.0,28.1,25.0,38.8,10.8,4.8,7.8,sometimes,often,1,1,1
1,P00016,P00028,33,31,2,0,0,5.5,5.3,9.8,3.4,3.7,7.6,5.0,5.7,6.2,9.0,5.6,28.1,25.0,17.7,20.6,4.8,5.7,sometimes,sometimes,0,1,0
1,P00016,P00029,33,24,9,0,1,8.3,6.2,4.2,7.2,6.7,4.1,5.8,7.2,6.7,6.9,7.5,28.1,25.0,35.1,13.4,4.8,5.3,sometimes,often,0,0,0
1,P00016,P00030,33,31,2,0,0,8.2,4.9,6.7,4.2,4.5,7.0,4.2,8.3,4.3,7.5,5.5,28.1,25.0,27.7,16.4,4.8,8.3,sometimes,often,0,0,0
1,P00016,P00031,33,19,14,1,0,5.8,7.9,4.0,4.7,6.5,7.0,4.8,7.9,4.2,8.0,4.7,28.1,25.0,34.4,6.3,4.8,7.2,sometimes,very_often,1,0,0
1,P00016,P00032,33,26,7,0,0,6.5,10.0,4.9,4.9,9.4,6.5,4.0,8.2,4.5,8.6,6.5,28.1,25.0,31.8,16.3,4.8,9.7,sometimes,sometimes,1,0,0
1,P00016,P00033,33,24,9,0,1,10.0,3.4,5.4,9.2,3.3,6.3,4.8,8.1,4.8,7.8,5.8,28.1,25.0,28.4,6.1,4.8,3.0,sometimes,often,1,0,0
1,P00016,P00034,33,30,3,0,0,4.3,6.0,7.7,4.8,5.8,4.2,5.4,7.4,4.6,9.0,7.0,28.1,25.0,16.3,19.5,4.8,8.9,sometimes,very_often,1,1,1
1,P00016,P00035,33,28,5,0,0,2.7,6.8,6.7,3.8,8.7,5.9,5.5,7.1,5.8,6.4,7.1,28.1,25.0,30.8,14.8,4.8,3.1,sometimes,sometimes,1,0,0
1,P00016,P00036,33,26,7,1,0,6.9,5.5,5.3,6.9,6.5,6.4,4.3,7.8,5.1,5.9,7.2,28.1,25.0,23.2,4.6,4.8,4.7,sometimes,sometimes,1,1,1
1,P00016,P00037,33,18,15,0,1,3.8,3.2,3.8,6.1,7.8,4.7,4.8,7.5,8.5,6.3,5.3,28.1,25.0,24.4,22.6,4.8,3.9,sometimes,sometimes,1,1,1
1,P00017,P00025,26,32,6,0,0,2.0,4.1,9.1,7.5,5.5,8.2,6.4,3.3,3.5,10.0,2.9,9.0,22.6,20.8,25.7,4.4,5.5,often,sometimes,0,0,0
1,P00017,P00026,26,26,0,1,1,6.2,6.0,7.5,5.7,5.0,7.4,4.1,5.3,3.9,9.8,2.3,9.0,22.6,37.0,16.2,4.4,5.8,often,sometimes,1,0,0
1,P00017,P00027,26,31,5,0,0,6.3,5.8,6.6,4.4,3.9,5.7,7.3,6.5,5.1,8.9,4.3,9.0,22.6,38.8,10.8,4.4,7.8,often,often,0,0,0
1,P00017,P00028,26,31,5,0,1,5.0,4.6,8.0,3.8,6.5,6.6,4.9,4.7,2.5,9.0,3.3,9.0,22.6,17.7,20.6,4.4,5.7,often,sometimes,0,1,0
1,P00017,P00029,26,24,2,0,0,8.6,5.9,4.8,7.3,5.0,6.2,7.4,5.7,2.2,9.2,5.2,9.0,22.6,35.1,13.4,4.4,5.3,often,often,1,1,1
1,P00017,P00030,26,31,5,0,1,4.0,8.6,5.7,3.4,6.3,6.8,7.5,2.5,2.5,9.7,3.9,9.0,22.6,27.7,16.4,4.4,8.3,often,often,1,1,1
1,P00017,P00031,26,19,7,0,0,5.8,10.0,4.4,4.0,7.0,7.1,5.4,6.4,4.2,8.4,5.5,9.0,22.6,34.4,6.3,4.4,7.2,often,very_often,0,0,0
1,P00017,P00032,26,26,0,0,0,5.5,8.8,3.3,6.3,8.4,8.2,4.8,6.7,1.3,9.7,3.6,9.0,22.6,31.8,16.3,4.4,9.7,often,sometimes,1,1,1
1,P00017,P00033,26,24,2,0,0,3.3,6.0,5.8,8.6,5.0,5.7,6.3,5.0,2.9,10.0,3.3,9.0,22.6,28.4,6.1,4.4,3.0,often,often,0,1,0
1,P00017,P00034,26,30,4,0,1,6.0,7.5,7.0,7.5,6.3,4.1,6.9,3.7,2.5,8.8,5.1,9.0,22.6,16.3,19.5,4.4,8.9,often,very_often,0,0,0
1,P00017,P00035,26,28,2,0,0,7.8,3.7,6.2,6.5,8.0,5.9,6.9,5.1,2.2,10.0,3.9,9.0,22.6,30.8,14.8,4.4,3.1,often,sometimes,0,1,0
1,P00017,P00036,26,26,0,0,0,9.1,5.0,5.9,7.4,7.0,7.0,6.0,3.3,4.6,9.6,5.7,9.0,22.6,23.2,4.6,4.4,4.7,often,sometimes,0,0,0
1,P00017,P00037,26,18,8,1,0,5.8,3.2,5.7,6.9,8.5,2.3,7.7,4.3,3.2,10.0,5.7,9.0,22.6,24.4,22.6,4.4,3.9,often,sometimes,0,1,0
1,P00018,P00025,31,32,1,0,0,5.8,5.2,6.3,10.0,8.5,8.5,3.4,8.8,5.3,4.5,7.6,30.7,17.4,20.8,25.7,3.1,5.5,often,sometimes,1,0,0
1,P00018,P00026,31,26,5,0,0,7.0,6.2,4.5,6.0,4.1,9.2,5.0,9.2,3.4,5.7,7.1,30.7,17.4,37.0,16.2,3.1,5.8,often,sometimes,1,1,1
1,P00018,P00027,31,31,0,0,0,5.9,6.4,7.2,4.8,4.7,4.7,5.3,7.6,4.7,5.9,7.2,30.7,17.4,38.8,10.8,3.1,7.8,often,often,0,0,0
1,P00018,P00028,31,31,0,0,0,6.8,4.4,9.2,3.9,8.1,7.5,4.0,9.2,3.3,4.9,7.4,30.7,17.4,17.7,20.6,3.1,5.7,often,sometimes,0,1,0
1,P00018,P00029,31,24,7,1,0,3.3,5.9,7.9,8.2,7.4,6.0,3.3,8.6,5.9,5.7,7.3,30.7,17.4,35.1,13.4,3.1,5.3,often,often,1,0,0
1,P00018,P00030,31,31,0,0,0,7.0,7.1,5.2,4.1,8.6,7.0,3.3,6.2,3.6,3.6,7.9,30.7,17.4,27.7,16.4,3.1,8.3,often,often,0,1,0
1,P00018,P00031,31,19,12,0,0,2.1,6.9,4.1,4.6,5.9,5.3,4.6,8.1,4.5,7.3,9.1,30.7,17.4,34.4,6.3,3.1,7.2,often,very_often,1,0,0
1,P00018,P00032,31,26,5,1,0,5.7,7.5,6.0,6.6,10.0,6.2,3.1,7.3,3.8,4.6,5.8,30.7,17.4,31.8,16.3,3.1,9.7,often,sometimes,1,0,0
1,P00018,P00033,31,24,7,0,0,3.3,6.0,6.7,7.4,6.0,4.9,3.2,10.0,4.9,5.8,6.8,30.7,17.4,28.4,6.1,3.1,3.0,often,often,0,1,0
1,P00018,P00034,31,30,1,1,0,6.6,6.2,4.7,5.7,6.7,4.0,3.4,7.8,5.6,4.9,8.0,30.7,17.4,16.3,19.5,3.1,8.9,often,very_often,1,0,0
1,P00018,P00035,31,28,3,1,1,0.0,4.9,5.9,3.7,7.5,6.2,5.5,9.4,3.2,4.9,5.7,30.7,17.4,30.8,14.8,3.1,3.1,often,sometimes,0,0,0
1,P00018,P00036,31,26,5,0,0,6.0,4.8,6.4,8.5,6.5,7.3,3.3,8.6,6.1,4.3,6.6,30.7,17.4,23.2,4.6,3.1,4.7,often,sometimes,0,0,0
1,P00018,P00037,31,18,13,0,0,4.6,6.1,7.1,7.0,5.8,5.1,3.9,8.4,6.2,5.6,7.4,30.7,17.4,24.4,22.6,3.1,3.9,often,sometimes,0,1,0
1,P00019,P00025,39,32,7,0,0,6.7,5.7,8.7,9.8,7.4,7.7,4.4,8.1,3.1,8.9,9.5,28.3,17.8,20.8,25.7,4.2,5.5,sometimes,sometimes,1,0,0
1,P00019,P00026,39,26,13,1,0,9.3,6.4,6.9,5.9,6.3,7.3,5.1,9.2,2.8,10.0,7.9,28.3,17.8,37.0,16.2,4.2,5.8,sometimes,sometimes,0,1,0
1,P00019,P00027,39,31,8,0,0,4.2,6.2,8.9,3.4,3.7,7.1,4.9,10.0,1.0,9.8,7.3,28.3,17.8,38.8,10.8,4.2,7.8,sometimes,often,0,1,0
1,P00019,P00028,39,31,8,0,0,3.6,4.5,8.4,3.2,6.8,8.4,5.1,10.0,1.7,8.8,7.7,28.3,17.8,17.7,20.6,4.2,5.7,sometimes,sometimes,0,1,0
1,P00019,P00029,39,24,15,0,0,1.8,3.9,6.8,9.0,7.2,4.9,5.2,9.4,1.4,8.0,7.1,28.3,17.8,35.1,13.4,4.2,5.3,sometimes,often,0,0,0
1,P00019,P00030,39,31,8,0,0,4.5,6.7,5.6,2.2,7.8,6.5,4.4,9.4,3.0,5.8,7.7,28.3,17.8,27.7,16.4,4.2,8.3,sometimes,often,0,0,0
1,P00019,P00031,39,19,20,0,0,6.6,9.3,4.5,6.3,7.4,6.7,5.7,10.0,1.0,6.7,7.7,28.3,17.8,34.4,6.3,4.2,7.2,sometimes,very_often,1,1,1
